n_trades,trades_wk,mean_gross,sharpe,hit_rate,spread_med,horizon,threshold,split
31124,1210.3777777777777,-4.574630510217206,-0.32352343516542936,0.18381313455854004,1.5999999999993797,1,0.1,val
9398,365.47777777777776,-9.366705682060028,-0.4780916378624636,0.1688657161098106,1.900000000001345,1,0.3,val
3758,146.14444444444445,-16.481772219265583,-0.6146909721727506,0.13996806812134113,3.8000000000004697,1,0.5,val
1695,65.91666666666666,-25.702477876106197,-0.7554645962230064,0.13215339233038348,18.400000000000638,1,0.8,val
1148,44.644444444444446,-31.70993031358885,-0.8397670549846616,0.13066202090592335,24.849999999998484,1,1.0,val
653,25.394444444444442,-39.1698315467075,-0.9203007614366587,0.12098009188361408,33.69999999999873,1,1.5,val
421,16.37222222222222,-44.46460807600949,-0.9617405189196613,0.11163895486935867,37.900000000001825,1,2.0,val
18571,722.2055555555555,-4.490539012438762,-0.37363339322430744,0.2757525173657854,1.40000000000029,3,0.1,val
5356,208.2888888888889,-9.28226288274832,-0.482587617507048,0.2503734129947722,1.7999999999984695,3,0.3,val
2650,103.05555555555556,-13.900113207547147,-0.5546288337199348,0.23773584905660378,2.500000000000835,3,0.5,val
1384,53.82222222222222,-20.410115606936408,-0.6535687282536154,0.1936416184971098,9.350000000000191,3,0.8,val
1031,40.09444444444444,-23.739767216294865,-0.6988879709020069,0.18331716779825413,18.400000000000638,3,1.0,val
600,23.333333333333332,-30.314500000000006,-0.7612898457967373,0.165,26.400000000000865,3,1.5,val
400,15.555555555555555,-36.89675000000001,-0.8135753960262827,0.16,34.95000000000026,3,2.0,val
7128,277.2,-5.835437710437718,-0.4078635677942192,0.3121492704826038,1.7000000000000348,6,0.1,val
2894,112.54444444444444,-9.717069799585355,-0.4712675131648104,0.29612992398064963,1.9999999999997797,6,0.3,val
1813,70.50555555555555,-12.492333149476016,-0.5084671985167327,0.27523441809156096,2.1999999999988695,6,0.5,val
751,29.205555555555556,-22.93621837549936,-0.6854845964342223,0.19973368841544606,18.399999999998418,6,0.8,val
542,21.077777777777776,-28.16402214022138,-0.8339961570998823,0.14944649446494465,25.500000000000522,6,1.0,val
287,11.161111111111111,-38.566202090592355,-0.9629980849257639,0.1289198606271777,41.499999999998764,6,1.5,val
211,8.205555555555556,-42.378199052132665,-0.8892221876434632,0.13744075829383887,39.59999999999964,6,2.0,val
8849,344.12777777777774,-3.492168606622239,-0.27323404216896,0.3549553621878178,1.5999999999993797,12,0.1,val
4066,158.1222222222222,-5.483915395966568,-0.34039550067919516,0.3489916379734383,1.7000000000000348,12,0.3,val
2473,96.17222222222222,-7.216093813182376,-0.385640971798712,0.34330772341285887,1.7000000000000348,12,0.5,val
1467,57.05,-9.061077027948228,-0.41357881823625436,0.34151329243353784,1.7000000000000348,12,0.8,val
1009,39.23888888888889,-10.927651139742359,-0.4477071128240124,0.3399405351833499,1.7999999999984695,12,1.0,val
655,25.47222222222222,-12.836488549618375,-0.4633331806546419,0.32213740458015266,1.80000000000069,12,1.5,val
333,12.95,-22.542342342342415,-0.6650270396686921,0.21621621621621623,18.299999999999983,12,2.0,val
21104,568.1846153846153,-6.7315058756633706,-0.49870483351208594,0.15679492039423806,1.7000000000000348,1,0.1,test
4927,132.64999999999998,-13.981307083417894,-0.5905229404274158,0.18368175360259792,4.899999999998794,1,0.3,test
1981,53.33461538461538,-24.083291267036856,-0.7599997801169895,0.09793033821302373,18.500000000001293,1,0.5,test
1077,28.996153846153845,-31.253667595171798,-0.8133509358776463,0.09842154131847725,23.400000000000087,1,0.8,test
780,21.0,-36.75102564102566,-0.8497736120911048,0.09102564102564102,30.00000000000003,1,1.0,test
450,12.115384615384615,-47.06777777777778,-0.9585794392932814,0.08,43.29999999999945,1,1.5,test
294,7.915384615384615,-53.90068027210886,-1.0157131335241822,0.07142857142857142,51.35000000000001,1,2.0,test
12558,338.09999999999997,-5.09916387959865,-0.42174528891589985,0.2719382067208154,1.0000000000021103,3,0.1,test
2480,66.76923076923076,-15.47552419354837,-0.6401281926513522,0.19596774193548386,14.100000000001334,3,0.3,test
1439,38.74230769230769,-20.12487838776925,-0.6955297940328848,0.16886726893676163,16.699999999998383,3,0.5,test
860,23.153846153846153,-26.889302325581365,-0.7696865359598527,0.1313953488372093,20.999999999999908,3,0.8,test
677,18.226923076923075,-30.8890694239291,-0.8151534176165997,0.11225997045790251,25.600000000001177,3,1.0,test
397,10.688461538461537,-39.08236775818638,-0.9346981515485303,0.08816120906801007,40.19999999999912,3,1.5,test
286,7.699999999999999,-46.318531468531496,-1.0296395778196827,0.07342657342657342,52.24999999999925,3,2.0,test
3261,87.79615384615384,-9.869794541551691,-0.6015926848000598,0.21864458754983135,3.20000000000098,6,0.1,test
1399,37.66538461538461,-16.478984989278082,-0.6906454176638114,0.16869192280200143,15.500000000001624,6,0.3,test
859,23.126923076923074,-22.216763678696154,-0.7902862755014984,0.12223515715948778,20.800000000000818,6,0.5,test
417,11.226923076923075,-32.184412470024,-0.9164310896699228,0.08633093525179857,32.300000000000665,6,0.8,test
316,8.507692307692308,-36.7898734177215,-0.9756878279802503,0.07278481012658228,42.14999999999969,6,1.0,test
187,5.0346153846153845,-45.95240641711225,-1.0395458419348451,0.06417112299465241,54.799999999999294,6,1.5,test
136,3.6615384615384614,-52.646323529411724,-1.0175815158947215,0.058823529411764705,66.19999999999959,6,2.0,test
4381,117.94999999999999,-4.956904816252015,-0.4378791976981812,0.30974663318876966,1.2999999999996348,12,0.1,test
1424,38.33846153846154,-10.350561797752839,-0.5341593405952045,0.24719101123595505,2.6999999999999247,12,0.3,test
830,22.346153846153843,-14.792771084337398,-0.6366868038631095,0.2,15.899999999999803,12,0.5,test
516,13.892307692307691,-20.21589147286827,-0.7304991735742876,0.14922480620155038,20.050000000000345,12,0.8,test
345,9.288461538461538,-24.56608695652178,-0.7876575133990912,0.13043478260869565,24.900000000001032,12,1.0,test
226,6.084615384615384,-31.409734513274294,-0.8912843060555729,0.048672566371681415,34.450000000000315,12,1.5,test
188,5.061538461538461,-33.82925531914893,-0.896639306587478,0.05319148936170213,40.09999999999958,12,2.0,test
