threshold,horizon,direction,n_trades,trades_wk,mean_net,hit_rate,sharpe,spread_med,pct_illiq_onset
3.0,30s,reversion,21450,201.2734584450402,-0.455944055944038,0.3585547785547786,-0.15099286621019337,0.7999999999985796,0.04428904428904429
3.0,30s,continuation,21450,201.2734584450402,-1.2282004662004526,0.20032634032634034,-0.36770867237275817,0.7999999999985796,0.04428904428904429
3.0,60s,reversion,20593,193.2319034852547,-0.4950662846598246,0.3905210508425193,-0.11744768372720177,0.7999999999985796,0.0446753751274705
3.0,60s,continuation,20593,193.2319034852547,-1.2889962608653278,0.2621279075413976,-0.2900018826423069,0.7999999999985796,0.0446753751274705
3.0,120s,reversion,19331,181.39008042895443,-0.558843308675188,0.4181366716672702,-0.10303046510968839,0.7999999999985796,0.04541927474005483
3.0,120s,continuation,19331,181.39008042895443,-1.3136723397651255,0.31488283068646217,-0.22768830376908894,0.7999999999985796,0.04541927474005483
3.0,300s,reversion,17018,159.686327077748,-0.5744682101304356,0.44129744975907864,-0.08279623912774606,0.7999999999985796,0.04730285579974145
3.0,300s,continuation,17018,159.686327077748,-1.251175226231035,0.37025502409213773,-0.17664931390748065,0.7999999999985796,0.04730285579974145
3.0,600s,reversion,14559,136.61260053619304,-0.5010440277491472,0.4597843258465554,-0.05752766687275423,0.7999999999985796,0.05130846898825469
3.0,600s,continuation,14559,136.61260053619304,-1.3686379559035609,0.3948760217047874,-0.1545593632867916,0.7999999999985796,0.05130846898825469
3.5,30s,reversion,12361,115.98793565683647,-0.41535474476173057,0.39009788852034627,-0.12144185857663244,0.7999999999985796,0.06876466305315104
3.5,30s,continuation,12361,115.98793565683647,-1.3264784402556191,0.20200631016908016,-0.33211259989810354,0.7999999999985796,0.06876466305315104
3.5,60s,reversion,11978,112.3941018766756,-0.48114877275003054,0.4065787276673902,-0.10196157206586287,0.7999999999985796,0.0695441643012189
3.5,60s,continuation,11978,112.3941018766756,-1.3877859408916147,0.2636500250459175,-0.2652955019496685,0.7999999999985796,0.0695441643012189
3.5,120s,reversion,11433,107.28016085790885,-0.4947257937549226,0.43435668678387124,-0.08114334876660861,0.7999999999985796,0.06988541939998251
3.5,120s,continuation,11433,107.28016085790885,-1.4255663430420515,0.3112044082917869,-0.2157947206506551,0.7999999999985796,0.06988541939998251
3.5,300s,reversion,10451,98.0656836461126,-0.5519854559372078,0.44512486843364274,-0.0739158163873346,0.7999999999985796,0.072528944598603
3.5,300s,continuation,10451,98.0656836461126,-1.3478231748157936,0.37230886996459667,-0.17219611416677574,0.7999999999985796,0.072528944598603
3.5,600s,reversion,9352,87.75335120643432,-0.48808810949527126,0.4572284003421728,-0.049721925073973744,0.7999999999985796,0.07591958939264329
3.5,600s,continuation,9352,87.75335120643432,-1.4027801539777423,0.39820359281437123,-0.13767763202364577,0.7999999999985796,0.07591958939264329
4.0,30s,reversion,7977,74.85120643431635,-0.3735740253227823,0.40829885922025827,-0.10065118966155667,0.8000000000008001,0.0996615268898082
4.0,30s,continuation,7977,74.85120643431635,-1.3971041745016706,0.20208098282562367,-0.3083328173722225,0.8000000000008001,0.0996615268898082
4.0,60s,reversion,7797,73.16219839142092,-0.42987046299857695,0.41580094908298065,-0.08438194389103408,0.8000000000008001,0.10042323970757984
4.0,60s,continuation,7797,73.16219839142092,-1.470091060664342,0.26022829293317945,-0.2460402508465858,0.8000000000008001,0.10042323970757984
4.0,120s,reversion,7515,70.51608579088472,-0.47615435795076316,0.4411177644710579,-0.0741116860261651,0.8000000000008001,0.10059880239520957
4.0,120s,continuation,7515,70.51608579088472,-1.4941317365269162,0.3129740518962076,-0.20837471330406826,0.8000000000008001,0.10059880239520957
4.0,300s,reversion,7012,65.79624664879357,-0.5230462065031213,0.4452367370222476,-0.06735202194607119,0.8000000000008001,0.1038220193953223
4.0,300s,continuation,7012,65.79624664879357,-1.375156873930383,0.369937250427838,-0.16366207877501246,0.8000000000008001,0.1038220193953223
4.0,600s,reversion,6458,60.597855227882036,-0.6507587488386268,0.4513781356457107,-0.061541957915541325,0.8000000000008001,0.10746361102508517
4.0,600s,continuation,6458,60.597855227882036,-1.258686899969003,0.4063177454320223,-0.11382350538960721,0.8000000000008001,0.10746361102508517
