horizon,threshold,costs_pips,n_trades,trades_wk,win_rate,mean_gross,mean_net,sharpe
60,1.0,0.3,18166,489.08461538461535,0.4929538698667841,0.31177199163271363,0.01177199163271348,0.2997403625082932
60,1.0,0.5,18166,489.08461538461535,0.47165033579213916,0.31177199163271363,-0.18822800836728637,-4.770046024934745
60,1.0,0.8,18166,489.08461538461535,0.44131894748431133,0.31177199163271363,-0.4882280083672865,-11.90990845010509
60,1.0,1.0,18166,489.08461538461535,0.41985026973466916,0.31177199163271363,-0.6882280083672864,-16.08716473913762
60,1.0,1.2,18166,489.08461538461535,0.39915226246834745,0.31177199163271363,-0.8882280083672863,-19.694518775754663
60,1.0,1.5,18166,489.08461538461535,0.3725641307937906,0.31177199163271363,-1.1882280083672863,-24.04977022028622
60,1.5,0.3,17701,476.5653846153846,0.49358793288514774,0.3200468900062139,0.02004689000621374,0.5142579023249788
60,1.5,0.5,17701,476.5653846153846,0.4733065928478617,0.3200468900062139,-0.17995310999378608,-4.604387404182803
60,1.5,0.8,17701,476.5653846153846,0.4422349019829388,0.3200468900062139,-0.47995310999378626,-11.881222954535469
60,1.5,1.0,17701,476.5653846153846,0.4207106943110559,0.3200468900062139,-0.6799531099937862,-16.19348625401253
60,1.5,1.2,17701,476.5653846153846,0.4007118241907237,0.3200468900062139,-0.879953109993786,-19.959122360031984
60,1.5,1.5,17701,476.5653846153846,0.3746680978475792,0.3200468900062139,-1.1799531099937859,-24.56515980672901
60,2.0,0.3,12133,326.6576923076923,0.5054809198054891,0.39709057941153,0.09709057941152978,1.8437710514612806
60,2.0,0.5,12133,326.6576923076923,0.48833759169207946,0.39709057941153,-0.1029094205884701,-1.953436446769855
60,2.0,0.8,12133,326.6576923076923,0.46113904228138136,0.39709057941153,-0.40290942058847024,-7.542469862912141
60,2.0,1.0,12133,326.6576923076923,0.4390505233660265,0.39709057941153,-0.6029094205884701,-11.090074385341072
60,2.0,1.2,12133,326.6576923076923,0.4197642792384406,0.39709057941153,-0.8029094205884699,-14.426892615998232
60,2.0,1.5,12133,326.6576923076923,0.3926481496744416,0.39709057941153,-1.1029094205884702,-18.95737064837504
60,2.5,0.3,7048,189.75384615384613,0.5137627695800226,0.5079455164585668,0.20794551645856663,3.5197811776734595
60,2.5,0.5,7048,189.75384615384613,0.49545970488081725,0.5079455164585668,0.00794551645856679,0.13433302049966658
60,2.5,0.8,7048,189.75384615384613,0.4682179341657208,0.5079455164585668,-0.2920544835414334,-4.8909267712415785
60,2.5,1.0,7048,189.75384615384613,0.4496311010215664,0.5079455164585668,-0.49205448354143316,-8.147655768220414
60,2.5,1.2,7048,189.75384615384613,0.42990919409761635,0.5079455164585668,-0.6920544835414331,-11.289063949045897
60,2.5,1.5,7048,189.75384615384613,0.402099886492622,0.5079455164585668,-0.9920544835414331,-15.726339778806453
60,3.0,0.3,3703,99.69615384615383,0.5295706184174993,0.5441938968404024,0.24419389684040219,2.939067473267869
60,3.0,0.5,3703,99.69615384615383,0.5122873345935728,0.5441938968404024,0.044193896840402355,0.532607966242914
60,3.0,0.8,3703,99.69615384615383,0.47907102349446395,0.5441938968404024,-0.2558061031595978,-3.075408810370326
60,3.0,1.0,3703,99.69615384615383,0.4590872265730489,0.5441938968404024,-0.4558061031595977,-5.4552069536382595
60,3.0,1.2,3703,99.69615384615383,0.43667296786389415,0.5441938968404024,-0.6558061031595974,-7.795936305466588
60,3.0,1.5,3703,99.69615384615383,0.40831758034026466,0.5441938968404024,-0.9558061031595976,-11.202413022627672
