threshold,spread_mult,horizon_s,n_trades,mean_net,win_rate
3.5,1.0,60,587,-19.651277683134612,0.10902896081771721
3.5,1.0,120,493,-15.33448275862059,0.14198782961460446
3.5,1.0,300,390,-13.767692307692197,0.1794871794871795
3.5,2.0,60,587,-41.496848381601346,0.07495741056218058
3.5,2.0,120,493,-33.94472616632848,0.10547667342799188
3.5,2.0,300,390,-32.03153846153837,0.12307692307692308
3.5,4.0,60,587,-85.18798977853493,0.03747870528109029
3.5,4.0,120,493,-71.1652129817442,0.06288032454361055
3.5,4.0,300,390,-68.55923076923061,0.08205128205128205
4.0,1.0,60,444,-23.02792792792793,0.08558558558558559
4.0,1.0,120,377,-18.226790450928238,0.11671087533156499
4.0,1.0,300,300,-17.216666666666534,0.13333333333333333
4.0,2.0,60,444,-49.327477477477466,0.06306306306306306
4.0,2.0,120,377,-41.435941644562185,0.09549071618037135
4.0,2.0,300,300,-40.80316666666654,0.10333333333333333
4.0,4.0,60,444,-101.92657657657654,0.036036036036036036
4.0,4.0,120,377,-87.85424403182994,0.05570291777188329
4.0,4.0,300,300,-87.97616666666642,0.06333333333333334
4.5,1.0,60,362,-25.683701657458574,0.0718232044198895
4.5,1.0,120,309,-20.335598705501543,0.10032362459546926
4.5,1.0,300,254,-19.489763779527557,0.11023622047244094
4.5,2.0,60,362,-55.57306629834255,0.04419889502762431
4.5,2.0,120,309,-46.837540453074354,0.07119741100323625
4.5,2.0,300,254,-46.38917322834636,0.07874015748031496
4.5,4.0,60,362,-115.35179558011053,0.024861878453038673
4.5,4.0,120,309,-99.8414239482199,0.038834951456310676
4.5,4.0,300,254,-100.18799212598408,0.051181102362204724
